# Longueur d'onde   Signal
657.960    2726
657.969    2989
657.978    3177
657.987    2829
657.997    2589
658.006    2338
658.015    2265
658.024    2586
658.033    2690
658.043    2476
658.052    2461
658.061    2706
658.070    2718
658.079    2728
658.089    2683
658.098    2963
658.107    3245
658.116    3250
658.125    3159
658.135    3069
658.144    3345
658.153    2959
658.162    3137
658.171    3475
658.181    2919
658.190    2767
658.199    2875
658.208    2939
658.217    3323
658.227    3343
658.236    3323
658.245    3281
658.254    3458
658.263    3425
658.273    3912
658.282    5023
658.291    6622
658.300    6361
658.309    4915
658.319    4275
658.328    3620
658.337    3996
658.346    4317
658.355    3738
658.365    3870
658.374    4829
658.383    4738
658.392    5232
658.401    4582
658.410    4121
658.420    3662
658.429    3546
658.438    3424
658.447    3282
658.456    3258
658.466    3108
658.475    3635
